Title,Poster Image,Run Time,Plot,Director,Writer,IMDB Link,Release Date,Rating,MPAA,User Comments,Tag Line,Keywords,Genres,Cast
Emmet Otter's Jug-Band Christmas,http://ia.media-imdb.com/images/M/MV5BMTc1MDg1Njg0M15BMl5BanBnXkFtZTcwMjk1MjcxMQ@@._V1._SX77_SY140_.jpg,48 min,A poor otter family risks everything for the chance to win the cash prize of a talent contest for Christmas.,Jim Henson,"Lillian Hoban, Russell Hoban",http://www.imdb.com/title/tt0075988/,01/01/-4712,,"",THE Best Christmas Movie,It's a Toe-Tapping Christmas in Frogtown Hollow!,Christmas|Otter|Family|Relationships|Battle|Of|The|Bands|Puppet,Comedy|Drama|Family|Musical,Dave Goelz|Frank Oz|Marilyn Sokol|Eren Ozker|Jerry Nelson|Richard Hunt
The Homecoming: A Christmas Story,http://ia.media-imdb.com/images/M/MV5BMTYyMjg4MzgyMl5BMl5BanBnXkFtZTcwNDczNDAwMQ@@._V1._SX98_SY140_.jpg,100 min,"Story of the events that happened on Christmas Eve, 1933, to one rural American family.",Fielder Cook,Earl Hamner Jr.,http://www.imdb.com/title/tt0067209/,12/19/1971,PG,Rated PG for brief mild language.,"Growing up on Waltons Mountian, every Thursday I was one of the kids except I was just in front of the Tv in my living room.","",Christmas|Family|Saga|Great|Depression|Mother|Daughter|Relationship|Alcoholism,Drama,Kami Cotler|Eric Scott|Edgar Bergen|Patricia Neal|Richard Thomas|David W. Harper|Mary Beth McDonough|William Windom|Ellen Corby|Woodrow Parfrey|Josephine Hutchinson|Cleavon Little|Judy Norton-Taylor|Andrew Duggan|Dorothy Stickney
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://ia.media-imdb.com/images/M/MV5BMTM3MTUxMTAwOV5BMl5BanBnXkFtZTcwNjc5NDE0MQ@@._V1._SX100_SY132_.jpg,143 min,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,Andrew Adamson,"Ann Peacock, Andrew Adamson",http://www.imdb.com/title/tt0363771/,12/09/2005,Unrated,Rated PG for battle sequences and frightening moments.,A Very Satisfying Realization of C.S. Lewis' Creation,Some journeys take us far from home. Some adventures lead us to our destiny.,Narnia|Witch|Lion|Winter|Professor,Adventure|Family|Fantasy,Judy McIntosh|James Cosmo|Georgie Henley|Elizabeth Hawthorne|Jim Broadbent|Shane Rangi|Cassie Cook|Patrick Kake|Brandon Cook|Skandar Keynes|Kiran Shah|James McAvoy|Tilda Swinton|Anna Popplewell|William Moseley
Pitch Black,http://ia.media-imdb.com/images/M/MV5BMjE4MDY1NzM4OF5BMl5BanBnXkFtZTcwNDU1NDUyMQ@@._V1._SX98_SY140_.jpg,109 min  | USA:112 min (unrated version),A group of marooned space travelers struggle for survival on a seemingly lifeless sun-scorched world.,David Twohy,"Jim Wheat, Ken Wheat",http://www.imdb.com/title/tt0134847/,02/18/2000,Unrated,"Rated R for sci-fi violence and gore, and for language.",The next Alien...,Fight Evil With Evil,Darkness|Space|Eclipse|Bounty|Hunter|Criminal,Action|Adventure|Horror|Sci-Fi|Thriller,Cole Hauser|Vin Diesel|Keith David|Angela Moore|Ric Anderson|John Moore|Sam Sari|Simon Burke|Lewis Fitz-Gerald|Vic Wilson|Radha Mitchell|Firass Dirani|Les Chantery|Rhiana Griffith|Claudia Black
Cinderella Man,http://ia.media-imdb.com/images/M/MV5BMjA5NzExMTc1NF5BMl5BanBnXkFtZTcwMDE5NjEwMg@@._V1._SX100_SY100_.jpg,144 min,"The story of James Braddock, a supposedly washed up boxer who came back to become a champion and an inspiration in the 1930s.",Ron Howard,Cliff Hollingsworth,http://www.imdb.com/title/tt0352248/,06/03/2005,PG-13,Rated PG-13 for intense boxing violence and some language.,Old story well told!,One man's extraordinary fight to save the family he loved.,Boxing|Great|Depression|1930s|Boxer|Dock,Biography|Drama|Sport,Patrick Louis|Paul Giamatti|Ariel Waller|Chuck Shamata|David Huband|Russell Crowe|Connor Price|Ren&#xE9;e Zellweger|Paddy Considine|Linda Kash|Gene Pyrz|Nicholas Campbell|Rosemarie DeWitt|Bruce McGill|Craig Bierko
Cleaner,http://ia.media-imdb.com/images/M/MV5BMjE1Mzk2OTkxOF5BMl5BanBnXkFtZTcwNjUwNTA3MQ@@._V1._SX100_SY140_.jpg,88 min  | Canada:93 min (Toronto International Film Festival) | Finland:90 min,A former cop who now earns a wage as a crime scene cleaner unknowingly participates in a cover-up at his latest job. |,Renny Harlin,Matthew Aldrich,http://www.imdb.com/title/tt0896798/,01/18/2008,R,"Rated R for bloody images, some violence and language.","Strong acting, nice filmography.. Just to cover a thin story",Solving a crime can be dirty work.,Crime|Scene|Murder|Investigation|Morgue|Polaroid|Dictaphone,Crime|Thriller,Linda Leonard|Richard Folmer|Rosalind Rubin|Luis Guzm&#xE1;n|Eva Mendes|Maggie Lawson|Keke Palmer|Samuel L. Jackson|Mike Guy|Robert Forster|Marc Macaulay|Ed Harris|Jose Pablo Cantillo|Edrick Browne|James Barnes
Clockstoppers,http://ia.media-imdb.com/images/M/MV5BMTU0MTQ1Njk5N15BMl5BanBnXkFtZTYwNTM5Mjg5._V1._SX100_SY140_.jpg,94 min,A teenager accidentally activates a machine that enables him to speed up his body so that other people seem to be standing still.,Jonathan Frakes,"Rob Hedden, Andy Hedden",http://www.imdb.com/find?s=all&q=clockstoppers,03/29/2002,PG,Rated PG for action violence and mild language.,"Made for children, but still a fun movie.","The adventure of a lifetime, in a few mere seconds.",Teenager|Time|Stop|Hit|In|Crotch|Helicopter|Plane,Adventure|Sci-Fi|Thriller,Linda Kim|Jennifer Manley|Ken Jenkins|Lindze Letherman|French Stewart|Deborah Rawlings|Julia Sweeney|Paula Garc&#xE9;s|Esperanza Catubig|Michael Biehn|Jesse Bradford|Robin Thomas|Jason Winston George|Garikayi Mutambirwa|Scott Thomson
Star Wars: Episode II - Attack of the Clones,http://ia.media-imdb.com/images/M/MV5BMjE1NTUyMzgxNF5BMl5BanBnXkFtZTYwNjg5OTI5._V1._SX98_SY140_.jpg,142 min  | USA:120 min (IMAX Version),"Anakin Skywalker shares a forbidden romance with Padmé Amidala while his teacher, Obi-Wan Kenobi, makes an investigation of a separatist assassination attempt on Padmé which leads to the discovery of a secret Republican clone army.",George Lucas,George Lucas,http://www.imdb.com/title/tt0121765/,05/16/2002,PG,Rated PG for sustained sequences of sci-fi action/violence.,Looking back this episode is much better,A Jedi Shall Not Know Anger.  Nor Hatred.  Nor Love.,Assassination|Attempt|Clone|Army|Senator|Assassin,Action|Adventure|Fantasy|Sci-Fi,Leeanna Walsman|Ewan McGregor|Jack Thompson|Rose Byrne|Frank Oz|Natalie Portman|Samuel L. Jackson|Daniel Logan|Christopher Lee|Pernilla August|Temuera Morrison|Hayden Christensen|Ahmed Best|Ian McDiarmid|Jimmy Smits
Cloverfield,http://ia.media-imdb.com/images/M/MV5BMTQ1NzU4NjI5Nl5BMl5BanBnXkFtZTcwNTkyMjc1MQ@@._V1._SX94_SY140_.jpg,85 min,Revolves around a monster attack in New York as told from the point of view of a small group of people.,Matt Reeves,Drew Goddard,http://www.imdb.com/title/tt1060277/,01/18/2008,PG-13,"Rated PG-13 for violence, terror and disturbing images.",Breath of fresh air,Some Thing Has Found Us,New|York|Video|Camera|Explosion|Apartment|Monster,Mystery|Sci-Fi|Thriller,Lizzy Caplan|Brian Klugman|Mike Vogel|Jessica Lucas|Elena Caruso|Liza Lapira|Anjul Nigam|T.J. Miller|Lili Mirojnick|Ben Feldman|Margot Farley|Odette Yustman|Michael Stahl-David|Kelvin Yu|Theo Rossi
College Road Trip,http://ia.media-imdb.com/images/M/MV5BMTc5NjM4Njg1NF5BMl5BanBnXkFtZTcwMDE2OTc1MQ@@._V1._SX95_SY140_.jpg,83 min,"When an overachieving high school student decides to travel around the country to choose the perfect college, her overprotective cop father also decides to accompany her in order to keep her on the straight and narrow. |",Roger Kumble,"Emi Mochizuki, Carrie Evans",http://www.imdb.com/find?s=all&q=college+road+trip,03/07/2008,G,"",An Okay Film,They just can't get there fast enough.,High|School|Product|Placement|Chess|Thanksgiving|Shooting|Range,Adventure|Comedy|Drama|Family,Josh Meyers|Brenda Song|Martin Lawrence|Adam LeFevre|Kym Whitley|Raven-Symon&#xE9;|Eshaya Draper|Lucas Grabeel|Eugene Jones III|Na'Kia Bell Smith|Lonny Ross|Geneva Carr|Will Sasso|Matthew Schlein|Margo Harshman
Lincoln and Lee at Antietam: The Cost of Freedom,http://ia.media-imdb.com/images/M/MV5BMTkwMTMyMjU1OV5BMl5BanBnXkFtZTcwOTAxNzEzMQ@@._V1._SX97_SY140_.jpg,USA:90 min,"The Single Bloodiest Day in American History It's September 17, 1862 and President Abraham Lincoln needs...",Robert Child,Robert Child,http://www.imdb.com/title/tt0491031/,01/31/2006,,"","",The Single Bloodiest Day in American History,Robert|E|Lee|South|Maryland|Emancipation|1862,Documentary,James M. McPherson|Allen C. Guelzo|Tim Duquette|Chad O. Allen|Andy Redmond|Cindy Brinkerhof|Christina Tongyai|Ed Mantell|Sam Edens|Benjamin F. Black|Stanley Wernz|Patrick Falci|Mike Brown|Tony Casey|Robert R. Pence Jr.|Shaun C. Grenan|Ronald A. Hawkins|Dennis E. Frye|Jim Choate|Paul V. Chiles|Ronald F. Maxwell|Kurt Grauf
Conagher,http://ia.media-imdb.com/images/M/MV5BMTI2MDk4ODk4Ml5BMl5BanBnXkFtZTcwODIwMzgyMQ@@._V1._SX100_SY118_.jpg,Germany:110 min  | Netherlands:100 min  | USA:94 min,Mrs. Evie Teale is struggling to stay alive while raising her two children alone on a remote homestead...,Reynaldo Villalobos,"Louis L'Amour, Jeffrey M. Meyer",http://www.imdb.com/find?s=all&q=conagher,07/01/1991,PG,"",Great Western Movie,None tougher. None faster. None deadlier.,Based|On|Novel|Character|Name|In|Title,Romance|Western,Cody Braun|Dub Taylor|Pepe Serna|James Gammon|Anndi McAfee|James Parks|Katharine Ross|Ken Curtis|Sam Elliott|Daniel Quinn|Paul Koslo|Gavan O'Herlihy|Barry Corbin|Buck Taylor|Billy Green Bush
Confessions of a Shopaholic,http://ia.media-imdb.com/images/M/MV5BMTQ1MzcyMTkwOF5BMl5BanBnXkFtZTcwMDM3MTc5MQ@@._V1._SX95_SY140_.jpg,104 min,A college grad lands a job as a financial journalist in New York City to support where she nurtures her shopping addiction and falls for a wealthy entrepreneur.,P.J. Hogan,"Tracey Jackson, Tim Firth",http://www.imdb.com/find?s=all&q=confessions+of+a+shopaholic,02/13/2009,PG,Rated PG for some mild language and thematic elements.,I love a good chick flick - but that was just painful,All she ever wanted was a little credit...,Shopping|New|York|City|Financial|Journalist|Journalist|Department|Store,Comedy|Romance,Hugh Dancy|John Lithgow|Joan Cusack|Clea Lewis|Nick Cornish|Leslie Bibb|Fred Armisen|Wendie Malick|Lynn Redgrave|Isla Fisher|Julie Hagerty|Robert Stanton|Kristin Scott Thomas|John Goodman|Krysten Ritter
Contact,http://ia.media-imdb.com/images/M/MV5BMTkxODM2MjI0NF5BMl5BanBnXkFtZTcwMjU3NDEzMQ@@._V1._SX100_SY138_.jpg,153 min,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of intelligent aliens, who send plans for a mysterious machine.",Robert Zemeckis,Carl Sagan,http://www.imdb.com/title/tt0118884/,07/11/1997,PG,"Rated PG for some intense action, mild language and a scene of sensuality.","Absolutely brilliant; unequivocally, completely amazing in every way.","Get ready to take a chance on something that just might end up being the most profoundly impactful moment for humanity, for the history... of history.",Alien|Radio|Scientist|Faith|Astronomy,Drama|Mystery|Sci-Fi|Thriller,Thomas Garner|Jena Malone|Henry Strozier|Laura Elena Surillo|Michael Chaban|Tom Skerritt|Sami Chester|David Morse|Matthew McConaughey|William Fichtner|Timothy McNeil|Geoffrey Blake|Max Martini|Larry King|Jodie Foster
The Draughtsman's Contract,http://ia.media-imdb.com/images/M/MV5BMTU3ODQwODE2NV5BMl5BanBnXkFtZTcwNDQ5MDUyMQ@@._V1._SX99_SY140_.jpg,103 min  | Finland:109 min (1983),"Mr. Neville, a cocksure young artist is contracted by Mrs. Herbert, the wife of a wealthy landowner...",Peter Greenaway,Peter Greenaway,http://www.imdb.com/title/tt0083851/,07/07/1983,R,"",Self Referential Allegorical Mystery,A landscape of lust and cunning. [Video Australia],Artist|Contract|Drawing|Indignant|Dutch,Drama|Mystery,Steve Ubels|Tony Meyer|David Meyer|David Gant|Nicolas Amer|Alastair Cummings|Suzan Crowley|Anthony Higgins|Lynda La Plante|Hugh Fraser|Anne-Louise Lambert|Janet Suzman|Michael Feast|Dave Hill|Neil Cunningham
Corpse Bride,http://ia.media-imdb.com/images/M/MV5BODQ3ODAwODY1MV5BMl5BanBnXkFtZTcwODQ3MTIzMQ@@._V1._SX100_SY113_.jpg,76 min,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.","Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel",http://www.imdb.com/title/tt0121164/,09/23/2005,PG,"Rated PG for some scary images and action, and brief mild language.",This film is 100% spectacular!,Loving You Is Like Loving The Dead,Bride|Corpse|Woods|Groom|Wedding|Ring,Animation|Comedy|Fantasy|Music|Romance,Jane Horrocks|Michael Gough|Enn Reitel|Richard E. Grant|Paul Whitehouse|Johnny Depp|Christopher Lee|Albert Finney|Joanna Lumley|Emily Watson|Stephen Ballantyne|Danny Elfman|Helena Bonham Carter|Tracey Ullman|Deep Roy
Cover,http://ia.media-imdb.com/images/M/MV5BMTQzOTUyODMyOV5BMl5BanBnXkFtZTcwNzY2MzU1MQ@@._V1._SX100_SY140_.jpg,98 min,"When someone is murdered on New Year's Eve, the prime suspect is Valerie Maas, a church-going home-maker...",Bill Duke,"Aaron Rahsaan Thomas, Aliya Jackson",http://www.imdb.com/title/tt0765460/,01/01/-4712,PG-13,"Rated PG-13 for mature thematic material, sexual situations and language, violence and some drug content.",well meaning but too contrived to be truly convincing,"",Bisexual|Church|Down|Low|AIDS|Gay|Interest,Drama|Thriller,Damascene Pierre Paul|Brook Susan Parker|Aunjanue Ellis|Leon|Vivica A. Fox|Roger Guenveur Smith|Michael Logan|Clayton Prince|Victoria Gabrielle Platt|Paula Jai Parker|Patti LaBelle|Christopher Michael Holley|John Patrick Barry|Tomorrow Baldwin Montgomery|Ray Ford|Karen Vicks|Ricky Staub|Louis Gossett Jr.|Richard Gant|Sakinah Bingham|Razaaq Adoti|Janet Zappala|Mya|Nakia Dillard|Kenya Cagle
Crash,http://ia.media-imdb.com/images/M/MV5BMTQyODU1NzI3OV5BMl5BanBnXkFtZTcwMTUzNDQzMQ@@._V1._SX96_SY140_.jpg,100 min  | 90 min (R-rated version),"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",David Cronenberg,"J.G. Ballard, David Cronenberg",http://www.imdb.com/title/tt0115964/,03/21/1997,R,"Rated NC-17 for numerous explicit sex scenes.; Rated R for accident gore, some graphic language and aberrant sexual content. (edited version)",An anti-erotic exploration of the hollowness of modern life,The most controversial film you will ever see.,Car|Sex|Car|Accident|Car|Crash|Infidelity,Drama|Thriller,Alice Poon|Elias Koteas|Markus Parilo|Rosanna Arquette|John Stoneham Jr.|Peter MacNeill|Deborah Kara Unger|Boyd Banks|Ronn Sarosiak|Holly Hunter|Cheryl Swarts|James Spader|Nicky Guadagni|Judah Katz|Yolande Julian
Crossfire Trail,http://ia.media-imdb.com/images/M/MV5BMTcxMjU0NDIxOF5BMl5BanBnXkFtZTcwNDY3MTgxMQ@@._V1._SX78_SY140_.jpg,Australia:92 min  | USA:92 min,Rafe Covington promises a dying friend that he'll watch over the man's wife and ranch after he's gone...,Simon Wincer,"Louis L'Amour, Charles Robert Carner",http://www.imdb.com/find?s=all&q=crossfire+trail,01/21/2001,,"","Magnificentl-Looking, Solid Western",A hero is measured by the enemies he makes.,Based|On|Book,Western,Patrick Kilpatrick|Tom Selleck|Wilford Brimley|Ken Pogue|Daniel Parker|Rex Linn|Marshall R. Teague|Brad Johnson|Joanna Miles|Barry Corbin|William Sanderson|David O'Hara|Christian Kane|Virginia Madsen|Mark Harmon
The Curious Case of Benjamin Button,http://ia.media-imdb.com/images/M/MV5BMTI0NTI1MTQwOV5BMl5BanBnXkFtZTcwNjM4NDE1Mg@@._V1._SX89_SY140_.jpg,166 min,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",David Fincher,Eric Roth,"http://www.imdb.com/find?s=all&q=curious+case+of+benjamin+button,+the",12/25/2008,PG-13,"Rated PG-13 for brief war violence, sexual content, language and smoking.",Fincher's Magical Masterpiece,"Life isn't measured in minutes, but in moments",Diary|Aging|Button|New|Orleans|Hospital,Drama|Fantasy|Mystery|Romance,Fiona Hale|David Jensen|Elias Koteas|Mahershalalhashbaz Ali|Jason Flemyng|Jacob Tolano|Ed Metzger|Faune A. Chambers|Julia Ormond|Cate Blanchett|Joeanna Sayler|Danny Vinson|Earl Maddox|Donna DuPlantier|Taraji P. Henson
The Da Vinci Code,http://ia.media-imdb.com/images/M/MV5BNzkxNTE1MTc3NV5BMl5BanBnXkFtZTcwNTE0MTMzMQ@@._V1._SX94_SY140_.jpg,149 min  | 174 min (extended cut),A murder inside the Louvre and clues in Da Vinci paintings lead to the discovery of a religious mystery protected by a secret society for two thousand years -- which could shake the foundations of Christianity.,Ron Howard,"Akiva Goldsman, Dan Brown",http://www.imdb.com/title/tt0382625/,05/19/2006,PG-13,"Rated PG-13 for disturbing images, violence, some nudity, thematic material, brief drug references and sexual content.",The standard 'not as good as the book' applies here.,Seek The Truth,Secret|Murder|Paris|Chase|Holy|Grail,Drama|Mystery|Thriller,Marie-Fran&#xE7;oise Audollent|J&#xFC;rgen Prochnow|Jean Reno|Ian McKellen|Shane Zaza|Rita Davies|Jean-Pierre Marielle|Jean-Yves Berteloot|Alfred Molina|Francesco Carnelutti|Paul Bettany|Audrey Tautou|Tom Hanks|Seth Gabel|Etienne Chicot
Dan in Real Life,http://ia.media-imdb.com/images/M/MV5BMjA2Nzc1NzQ1OV5BMl5BanBnXkFtZTcwOTE0MDE1MQ@@._V1._SX95_SY140_.jpg,98 min,A widower finds out the woman he fell in love with is his brother's girlfriend.,Peter Hedges,"Pierce Gardner, Peter Hedges",http://www.imdb.com/title/tt0480242/,10/26/2007,PG-13,Rated PG-13 for some innuendo.,"Sweet, Funny, Touching...Just About Perfect",Something's happening to Dan. It's confusing. It's awkward. It's family.,Widower|Bookstore|Love|Vacation|Shore,Comedy|Drama|Romance,Dane Cook|Juliette Binoche|Cameron 'C.J.' Adams|Ella Miller|Norbert Leo Butz|Frank Wood|John Mahoney|Dianne Wiest|Marlene Lawston|Brittany Robertson|Alison Pill|Henry Miller|Amy Ryan|Jessica Hecht|Steve Carell
The Day the Earth Stood Still,http://ia.media-imdb.com/images/M/MV5BNzMyNjE0MTcxNF5BMl5BanBnXkFtZTcwODcyOTMwMg@@._V1._SX94_SY140_.jpg,104 min,A remake of the 1951 classic sci-fi film about an alien visitor and his giant robot counterpart who visit Earth.,Scott Derrickson,"David Scarpa, Edmund H. North",http://www.imdb.com/title/tt0970416/,12/12/2008,PG-13,Rated PG-13 for some sci-fi disaster images and violence.,"Mildly entertains, but never reaches its potential.",12.12.08 is the Day the Earth Stood Still,Alien|Giant|Robot|Scientist|Robot|Military,Drama|Sci-Fi|Thriller,Tanya Champoux|Juan Riedinger|Robert Knepper|Kyle Chandler|Sunita Prasad|John Rothman|Keanu Reeves|John Cleese|Jaden Smith|Jon Hamm|Jennifer Connelly|Rukiya Bernard|Kathy Bates|Sam Gilroy|James Hong
Day Zero,http://ia.media-imdb.com/images/M/MV5BOTE3ODA4MzcxN15BMl5BanBnXkFtZTcwNTMzNTY0MQ@@._V1._SX94_SY140_.jpg,92 min,The military draft is back. Three best friends are drafted and given 30 days to report for duty. In...,Bryan Gunnar Cole,"Robert Malkani, Tom Touchet",http://www.imdb.com/title/tt0768183/,01/01/-4712,R,"Rated R for language, sexual content, some violence and drug use.",This movie is a study of human nature and relationships,Drafted... 30 Days to Report For Duty. What would you do?,Military|Draft|Friendship|Gay|Bar|Suicide|Anti|War,Drama,Daniel Oreskes|Jon Bernthal|Adam LeFevre|Ian Kahn|John Rothman|Ginnifer Goodwin|Tinashe Kajese|Jordin Ruderman|Amir Arison|Ally Sheedy|Elisabeth Moss|Robert Hogan|Chris Klein|Sofia Vassilieva|Elijah Wood
The Day the Earth Stood Still,http://ia.media-imdb.com/images/M/MV5BNzMyNjE0MTcxNF5BMl5BanBnXkFtZTcwODcyOTMwMg@@._V1._SX94_SY140_.jpg,104 min,A remake of the 1951 classic sci-fi film about an alien visitor and his giant robot counterpart who visit Earth.,Scott Derrickson,"David Scarpa, Edmund H. North",http://www.imdb.com/title/tt0970416/,12/12/2008,PG-13,Rated PG-13 for some sci-fi disaster images and violence.,"Mildly entertains, but never reaches its potential.",12.12.08 is the Day the Earth Stood Still,Alien|Giant|Robot|Scientist|Robot|Military,Drama|Sci-Fi|Thriller,Tanya Champoux|Juan Riedinger|Robert Knepper|Kyle Chandler|Sunita Prasad|John Rothman|Keanu Reeves|John Cleese|Jaden Smith|Jon Hamm|Jennifer Connelly|Rukiya Bernard|Kathy Bates|Sam Gilroy|James Hong
Death at a Funeral,http://ia.media-imdb.com/images/M/MV5BMjA5NDc1NjUzOV5BMl5BanBnXkFtZTcwMjQ2Njk1MQ@@._V1._SX100_SY137_.jpg,90 min,Chaos ensues when a man tries to expose a dark secret regarding a recently deceased patriarch of a dysfunctional British family.,Frank Oz,Dean Craig,http://www.imdb.com/title/tt0795368/,07/11/2007,R,Rated R for language and drug content.,Nearly Died Laughing,From director Frank Oz comes the story of a family that puts the F U in funeral.,Funeral|Uncle|Secret|Faecal|Mother|Son|Relationship,Comedy,Rupert Graves|Daisy Donovan|Thomas Wheatley|Peter Egan|Keeley Hawes|Matthew Macfadyen|Brendan O'Hea|Alan Tudyk|Peter Vaughan|Ewen Bremner|Andy Nyman|Jeremy Booth|Peter Dinklage|Kris Marshall|Jane Asher
Deck the Halls,http://ia.media-imdb.com/images/M/MV5BMTIzNjA4OTM0OV5BMl5BanBnXkFtZTcwMDgwODkzMQ@@._V1._SX95_SY140_.jpg,93 min,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,John Whitesell,"Matt Corman, Chris Ord",http://www.imdb.com/title/tt0790604/,11/22/2006,PG,"Rated PG for some crude and suggestive humor, and for language.",Ouch,There glows the neighborhood,Holiday|Neighbor|Christmas|Light|Christmas|Lights,Comedy|Family,Jackie Burroughs|Sabrina Aldridge|Dylan Blue|Ryan Devlin|Jorge Garcia|Alia Shawkat|Kristin Davis|Kristin Chenoweth|Sean O'Bryan|Fred Armisen|Matthew Broderick|Kelly Aldridge|Gillian Vigman|SuChin Pak|Danny DeVito
The Deer Hunter,http://ia.media-imdb.com/images/M/MV5BMTY2MzI3ODU3Nl5BMl5BanBnXkFtZTcwMjkzMzMzMQ@@._V1._SX97_SY140_.jpg,182 min,An in-depth examination of the way that the Vietnam war affects the lives of people in a small industrial town in the USA.,Michael Cimino,"Michael Cimino, Deric Washburn",http://www.imdb.com/title/tt0077416/,02/23/1979,R,"",It was 1978 and everyone in the audience was about to wet their pants,Best Picture 1978,Vietnam|Russian|Roulette|Escape|Pennsylvania|Wedding,Drama|Thriller|War,Mady Kaplan|Shirley Stoler|Christopher Walken|Richard Kuss|John Savage|Joe Grifasi|Pierre Segui|Rutanya Alda|Chuck Aspegren|Robert De Niro|Mary Ann Haenel|Amy Wright|George Dzundza|John Cazale|Meryl Streep
"Definitely, Maybe",http://ia.media-imdb.com/images/M/MV5BMTc1Mzc1ODMxMF5BMl5BanBnXkFtZTcwNDY1MzU1MQ@@._V1._SX100_SY139_.jpg,UK:112 min,A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter.,Adam Brooks,Adam Brooks,http://www.imdb.com/title/tt0832266/,02/14/2008,PG-13,"Rated PG-13 for sexual content, including some frank dialogue, language and smoking.",Seen worse. Seen a whole lot worse.,Three relationships. Three disasters. One last chance.,Love|Divorce|Sex|Politics|Romantic|Comedy,Comedy|Drama|Mystery|Romance,Ashley Greiner|Ryder Chasin|Ashtyn Greenstein|Dylan Hartigan|Victoria Goldsmith|An Nguyen|Fiona Lane|Matthew Mason|Ryan Reynolds|Sakina Jaffrey|Paulina Gerzon|Blake Benitez|Dana Eskelson|Bob Wiltfong|Rick Derby
Delta Farce,http://ia.media-imdb.com/images/M/MV5BMjAxODg1NzU3M15BMl5BanBnXkFtZTcwNjI2ODc0MQ@@._V1._SX95_SY140_.jpg,USA:90 min  | Argentina:90 min,Three bumbling Army reservists bound for Iraq are accidentally dropped at Mexican village besieged by hostile forces.,C.B. Harding,"Bear Aderhold, Tom Sullivan",http://www.imdb.com/title/tt0800003/,05/11/2007,PG-13,Rated PG-13 for crude and sexual humor.,Quite possible the worst movie in all of history,G.I. Joke,Mexico|Beautiful|Woman|Iraq|War|Army|Men|Cannon,Action|Adventure|Comedy,Keith David|Christina Moore|Lorna Scott|Parker Goris|Bill Doyle|Ed O'Ross|Glenn Morshower|McKinley Freeman|DJ Qualls|Bill Engvall|Larry The Cable Guy|Lance Smith|Lisa Lampanelli|Michael Papajohn|Michael Rose
The Departed,http://ia.media-imdb.com/images/M/MV5BMTYzOTgyMzEzNV5BMl5BanBnXkFtZTcwNzY3NTE0MQ@@._V1._SX100_SY122_.jpg,151 min,"Two men from opposite sides of the law are undercover within the Massachusetts State Police and the Irish mafia, but violence and bloodshed boil when discoveries are made, and the moles are dispatched to find out their enemy's identities.",Martin Scorsese,"William Monahan, Siu Fai Mak",http://www.imdb.com/title/tt0407887/,10/06/2006,R,"Rated R for strong brutal violence, pervasive language, some strong sexual content and drug material.",Superb acting on top of brilliant storytelling,Lies. Betrayal. Sacrifice. How far will you take it?,Police|Undercover|Informer|Mole|Criminal,Action|Crime|Drama|Thriller,Martin Sheen|Anthony Anderson|Kristen Dalton|Vera Farmiga|Ray Winstone|Leonardo DiCaprio|James Badge Dale|Kevin Corrigan|Alec Baldwin|Robert Wahlberg|Mark Wahlberg|Matt Damon|Mark Rolston|David O'Hara|Jack Nicholson
The Devil Wears Prada,http://ia.media-imdb.com/images/M/MV5BMTQ1MzQ3NzI3MF5BMl5BanBnXkFtZTcwOTcwMTUzMQ@@._V1._SX94_SY140_.jpg,109 min,"A naive young woman comes to New York and scores a job as the assistant to one of the city's biggest magazine editors, the ruthless and cynical Miranda Priestly.",David Frankel,"Aline Brosh McKenna, Lauren Weisberger",http://www.imdb.com/title/tt0458352/,06/30/2006,PG-13,Rated PG-13 for some sensuality.,"Meryl Streep, A Character Actress As Star",Hell On Heels.,Magazine|Fashion|Assistant|Editor|Friend,Comedy|Drama|Romance,Gisele B&#xFC;ndchen|Jimena Hoyos|David Marshall Grant|Adrian Grenier|Rebecca Mader|James Naughton|Emily Blunt|Anne Hathaway|Daniel Sunjata|Rich Sommer|Simon Baker|Stanley Tucci|Tracie Thoms|Meryl Streep|Tibor Feldman
